filename,scene_label,identifier,source_label
audio/airport-lisbon-1000-40000-a.wav,airport,lisbon-1000,a
audio/airport-prague-1015-40019-a.wav,airport,prague-1015,a
audio/airport-prague-1023-40027-a.wav,airport,prague-1023,a
audio/airport-prague-1023-40038-a.wav,airport,prague-1023,a
audio/airport-prague-1034-40041-a.wav,airport,prague-1034,a
audio/airport-prague-1015-40047-a.wav,airport,prague-1015,a
audio/airport-lisbon-1000-40073-a.wav,airport,lisbon-1000,a
audio/airport-prague-1069-40101-a.wav,airport,prague-1069,a
audio/airport-prague-1034-40148-a.wav,airport,prague-1034,a
audio/airport-prague-1069-40151-a.wav,airport,prague-1069,a
audio/airport-lyon-1101-40173-a.wav,airport,lyon-1101,a
audio/airport-lisbon-1114-40213-a.wav,airport,lisbon-1114,a
audio/airport-lisbon-1114-40219-a.wav,airport,lisbon-1114,a
audio/airport-lisbon-1000-40242-a.wav,airport,lisbon-1000,a
audio/airport-lisbon-1122-40244-a.wav,airport,lisbon-1122,a
audio/airport-prague-1069-40257-a.wav,airport,prague-1069,a
audio/airport-prague-1034-40262-a.wav,airport,prague-1034,a
audio/airport-prague-1015-40266-a.wav,airport,prague-1015,a
audio/airport-prague-1034-40269-a.wav,airport,prague-1034,a
audio/airport-lisbon-1000-40280-a.wav,airport,lisbon-1000,a
audio/airport-lisbon-1122-40326-a.wav,airport,lisbon-1122,a
audio/airport-lisbon-1000-40329-a.wav,airport,lisbon-1000,a
audio/airport-lisbon-1122-40334-a.wav,airport,lisbon-1122,a
audio/airport-lisbon-1000-40342-a.wav,airport,lisbon-1000,a
audio/airport-lisbon-1122-40344-a.wav,airport,lisbon-1122,a
audio/airport-lyon-1101-40386-a.wav,airport,lyon-1101,a
audio/airport-lisbon-1114-40411-a.wav,airport,lisbon-1114,a
audio/airport-prague-1015-40417-a.wav,airport,prague-1015,a
audio/airport-prague-1023-40436-a.wav,airport,prague-1023,a
audio/airport-prague-1015-40439-a.wav,airport,prague-1015,a
audio/airport-lisbon-1000-40463-a.wav,airport,lisbon-1000,a
audio/airport-lisbon-1114-40495-a.wav,airport,lisbon-1114,a
audio/airport-prague-1023-40504-a.wav,airport,prague-1023,a
audio/airport-prague-1023-40527-a.wav,airport,prague-1023,a
audio/airport-lisbon-1000-40528-a.wav,airport,lisbon-1000,a
audio/airport-prague-1023-40542-a.wav,airport,prague-1023,a
audio/airport-prague-1069-40583-a.wav,airport,prague-1069,a
audio/airport-prague-1034-40629-a.wav,airport,prague-1034,a
audio/airport-lisbon-1000-40643-a.wav,airport,lisbon-1000,a
audio/airport-lisbon-1000-40647-a.wav,airport,lisbon-1000,a
audio/airport-lisbon-1122-40660-a.wav,airport,lisbon-1122,a
audio/airport-prague-1023-40709-a.wav,airport,prague-1023,a
audio/airport-lisbon-1114-40725-a.wav,airport,lisbon-1114,a
audio/airport-lyon-1101-40748-a.wav,airport,lyon-1101,a
audio/airport-prague-1023-40758-a.wav,airport,prague-1023,a
audio/airport-prague-1015-40787-a.wav,airport,prague-1015,a
audio/airport-prague-1034-40792-a.wav,airport,prague-1034,a
audio/airport-lisbon-1114-40796-a.wav,airport,lisbon-1114,a
audio/airport-lisbon-1122-40819-a.wav,airport,lisbon-1122,a
audio/airport-lisbon-1000-40849-a.wav,airport,lisbon-1000,a
audio/airport-lisbon-1114-40861-a.wav,airport,lisbon-1114,a
audio/airport-prague-1023-40879-a.wav,airport,prague-1023,a
audio/airport-prague-1015-40881-a.wav,airport,prague-1015,a
audio/airport-prague-1069-40882-a.wav,airport,prague-1069,a
audio/airport-lisbon-1122-40888-a.wav,airport,lisbon-1122,a
